city,year,weekofyear,total_cases
sj,2010,48,31
sj,2010,49,23
sj,2010,50,32
sj,2010,51,27
sj,2011,52,29
sj,2011,1,26
sj,2011,2,23
sj,2011,3,30
sj,2011,4,28
sj,2011,5,28
sj,2011,6,24
sj,2011,7,27
sj,2011,8,29
sj,2011,9,27
sj,2011,10,27
sj,2011,11,29
sj,2011,12,28
sj,2011,13,30
sj,2011,14,27
sj,2011,15,26
sj,2011,16,32
sj,2011,17,24
sj,2011,18,32
sj,2011,19,28
sj,2011,20,68
sj,2011,21,93
sj,2011,22,35
sj,2011,23,116
sj,2011,24,53
sj,2011,25,35
sj,2011,26,35
sj,2011,27,37
sj,2011,28,36
sj,2011,29,32
sj,2011,30,38
sj,2011,31,39
sj,2011,32,39
sj,2011,33,33
sj,2011,34,46
sj,2011,35,37
sj,2011,36,35
sj,2011,37,36
sj,2011,38,35
sj,2011,39,34
sj,2011,40,29
sj,2011,41,31
sj,2011,42,32
sj,2011,43,26
sj,2011,44,32
sj,2011,45,28
sj,2011,46,72
sj,2011,47,38
sj,2011,48,35
sj,2011,49,28
sj,2011,50,43
sj,2011,51,20
sj,2012,52,22
sj,2012,1,29
sj,2012,2,28
sj,2012,3,28
sj,2012,4,28
sj,2012,5,24
sj,2012,6,29
sj,2012,7,24
sj,2012,8,27
sj,2012,9,27
sj,2012,10,28
sj,2012,11,30
sj,2012,12,57
sj,2012,13,36
sj,2012,14,32
sj,2012,15,28
sj,2012,16,34
sj,2012,17,27
sj,2012,18,58
sj,2012,19,33
sj,2012,20,73
sj,2012,21,30
sj,2012,22,29
sj,2012,23,30
sj,2012,24,25
sj,2012,25,32
sj,2012,26,29
sj,2012,27,30
sj,2012,28,35
sj,2012,29,34
sj,2012,30,34
sj,2012,31,32
sj,2012,32,41
sj,2012,33,93
sj,2012,34,44
sj,2012,35,40
sj,2012,36,30
sj,2012,37,30
sj,2012,38,31
sj,2012,39,30
sj,2012,40,34
sj,2012,41,31
sj,2012,42,37
sj,2012,43,31
sj,2012,44,32
sj,2012,45,34
sj,2012,46,38
sj,2012,47,568
sj,2012,48,35
sj,2012,49,31
sj,2012,50,128
sj,2012,51,62
sj,2013,1,29
sj,2013,2,24
sj,2013,3,25
sj,2013,4,29
sj,2013,5,26
sj,2013,6,21
sj,2013,7,27
sj,2013,8,27
sj,2013,9,21
sj,2013,10,335
sj,2013,11,30
sj,2013,12,17
sj,2013,13,22
sj,2013,14,36
sj,2013,15,28
sj,2013,16,19
sj,2013,17,27
iq,2010,26,4
iq,2010,27,1
iq,2010,28,4
iq,2010,29,2
iq,2010,30,0
iq,2010,31,1
iq,2010,32,0
iq,2010,33,0
iq,2010,34,0
iq,2010,35,0
iq,2010,36,4
iq,2010,37,1
iq,2010,38,0
iq,2010,39,0
iq,2010,40,0
iq,2010,41,1
iq,2010,42,0
iq,2010,43,5
iq,2010,44,5
iq,2010,45,0
iq,2010,46,1
iq,2010,47,5
iq,2010,48,6
iq,2010,49,5
iq,2010,50,4
iq,2010,51,2
iq,2011,52,3
iq,2011,1,0
iq,2011,2,4
iq,2011,3,5
iq,2011,4,1
iq,2011,5,3
iq,2011,6,5
iq,2011,7,0
iq,2011,8,5
iq,2011,9,6
iq,2011,10,5
iq,2011,11,3
iq,2011,12,7
iq,2011,13,7
iq,2011,14,4
iq,2011,15,7
iq,2011,16,5
iq,2011,17,6
iq,2011,18,5
iq,2011,19,3
iq,2011,20,5
iq,2011,21,7
iq,2011,22,5
iq,2011,23,10
iq,2011,24,0
iq,2011,25,2
iq,2011,26,1
iq,2011,27,6
iq,2011,28,0
iq,2011,29,0
iq,2011,30,1
iq,2011,31,0
iq,2011,32,0
iq,2011,33,0
iq,2011,34,0
iq,2011,35,0
iq,2011,36,0
iq,2011,37,3
iq,2011,38,0
iq,2011,39,1
iq,2011,40,2
iq,2011,41,5
iq,2011,42,6
iq,2011,43,0
iq,2011,44,0
iq,2011,45,1
iq,2011,46,1
iq,2011,47,5
iq,2011,48,4
iq,2011,49,4
iq,2011,50,6
iq,2011,51,2
iq,2012,52,4
iq,2012,1,8
iq,2012,2,4
iq,2012,3,4
iq,2012,4,2
iq,2012,5,5
iq,2012,6,4
iq,2012,7,5
iq,2012,8,2
iq,2012,9,4
iq,2012,10,3
iq,2012,11,4
iq,2012,12,0
iq,2012,13,4
iq,2012,14,4
iq,2012,15,5
iq,2012,16,8
iq,2012,17,2
iq,2012,18,6
iq,2012,19,1
iq,2012,20,5
iq,2012,21,2
iq,2012,22,2
iq,2012,23,2
iq,2012,24,0
iq,2012,25,0
iq,2012,26,0
iq,2012,27,0
iq,2012,28,0
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,0
iq,2012,33,0
iq,2012,34,0
iq,2012,35,0
iq,2012,36,10
iq,2012,37,0
iq,2012,38,0
iq,2012,39,0
iq,2012,40,0
iq,2012,41,3
iq,2012,42,2
iq,2012,43,7
iq,2012,44,1
iq,2012,45,1
iq,2012,46,5
iq,2012,47,10
iq,2012,48,7
iq,2012,49,3
iq,2012,50,4
iq,2012,51,7
iq,2013,1,6
iq,2013,2,5
iq,2013,3,6
iq,2013,4,6
iq,2013,5,5
iq,2013,6,4
iq,2013,7,1
iq,2013,8,5
iq,2013,9,6
iq,2013,10,8
iq,2013,11,6
iq,2013,12,7
iq,2013,13,6
iq,2013,14,3
iq,2013,15,4
iq,2013,16,6
iq,2013,17,7
iq,2013,18,0
iq,2013,19,4
iq,2013,20,5
iq,2013,21,5
iq,2013,22,2
iq,2013,23,3
iq,2013,24,3
iq,2013,25,0
iq,2013,26,0
